date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:22	76/76	U--MCZ	200	updated ('OK')	text/plain	date:Sun,%2006%20Jun%202021%2016:36:13%20GMT	http://blackboxjumper.maweb.eu/robots.txt		(from )
18:36:22	0/0	U--MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2006%20Jun%202021%2016:36:14%20GMT	http://blackboxjumper.maweb.eu/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/index.html	(from )
18:36:27	20882/20882	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2006%20Jun%202021%2016:36:16%20GMT	http://blackboxjumper.maweb.eu/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/index.html	(from )
18:36:28	295236/295236	U--M-Z	200	updated ('OK')	text/css	etag:%2248144-5c41b599143f4-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_7822552a8c9860659ffc48c32eb3e63d.css	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_7822552a8c9860659ffc48c32eb3e63d.css	(from http://blackboxjumper.maweb.eu/)
18:36:31	1701/1701	U-----	200	untouched ('')	application/rss+xml	etag:%22e32911d030a93f0c7f19bea6067fa2fc%22	http://blackboxjumper.maweb.eu/comments/feed/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/comments/feed/index.html	(from http://blackboxjumper.maweb.eu/)
18:36:32	2410/2410	U--MC-	200	updated ('OK')	application/rss+xml	etag:%22deb336d2a941792f832b13169108763a%22	http://blackboxjumper.maweb.eu/feed/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/feed/index.html	(from http://blackboxjumper.maweb.eu/)
18:36:32	1023/1023	U--M-Z	200	updated ('OK')	text/css	etag:%223ff-5c41895298e0d-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_d17bd80b3412e1ca7b00951b542f3d5c.css?ver=1622983355	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_d17bd80b3412e1ca7b00951b542f3d5c0e54.css	(from http://blackboxjumper.maweb.eu/)
18:36:32	492061/492061	---MCZ	200	added ('OK')	text/css	etag:W/%227821d-5c41895216820%22	http://blackboxjumper.maweb.eu/wp-content/uploads/essential-addons-elementor/734e5f942.min.css?ver=1622997375	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/uploads/essential-addons-elementor/734e5f942.min22f1.css	(from http://blackboxjumper.maweb.eu/)
18:36:32	8885/8885	U--M-Z	200	updated ('OK')	text/css	etag:%2222b5-5c4189529a965-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_843ca02588b4dbdab71a812f0d1c9433.css?ver=1622983356	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_843ca02588b4dbdab71a812f0d1c9433d7e6.css	(from http://blackboxjumper.maweb.eu/)
18:36:32	180/180	U--M-Z	200	updated ('OK')	text/css	etag:%22b4-5c41b5990f5d4-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_e4fca45827e461ad4667bb6653390608.css?ver=1622996629	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_e4fca45827e461ad4667bb6653390608f201.css	(from http://blackboxjumper.maweb.eu/)
