date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:16	76/76	U--MCZ	200	updated ('OK')	text/plain	date:Wed,%2009%20Jun%202021%2012:46:04%20GMT	http://blackboxjumper.maweb.eu/robots.txt		(from )
14:47:07	24731/24731	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:46:04%20GMT	http://blackboxjumper.maweb.eu/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/index.html	(from )
14:47:16	294884/294884	U--M-Z	200	updated ('OK')	text/css	etag:%2247fe4-5c453bc90d86f-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_82d79ed373b00464be14ebe8a98a91c2.css	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_82d79ed373b00464be14ebe8a98a91c2.css	(from http://blackboxjumper.maweb.eu/)
14:47:19	2689/2689	U-----	200	untouched ('')	application/rss+xml	etag:%221f803c863594dc42442673decd8568e6%22	http://blackboxjumper.maweb.eu/comments/feed/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/comments/feed/index.html	(from http://blackboxjumper.maweb.eu/)
14:47:23	1020/1020	---M-Z	200	added ('OK')	text/css	etag:%223fc-5c453bc8eadc0-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_72eb95703bbcee516c047fc97f152d33.css?ver=1623238775	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_72eb95703bbcee516c047fc97f152d33.0ebb5.delayed	(from http://blackboxjumper.maweb.eu/)
14:47:24	3726/3726	U--MC-	200	updated ('OK')	application/rss+xml	etag:%22e3b9ebd15a80d068f2e6cb63ec1d1a06%22	http://blackboxjumper.maweb.eu/feed/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/feed/index.html	(from http://blackboxjumper.maweb.eu/)
14:47:31	23602/23602	---M-Z	200	added ('OK')	text/css	etag:%225c32-5c453bc8f6940-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_2e8e435011dba4d966aaf2a950391d89.css?ver=1623238776	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_2e8e435011dba4d966aaf2a950391d897ea4.css	(from http://blackboxjumper.maweb.eu/)
14:47:36	180/180	---M-Z	200	added ('OK')	text/css	etag:%22b4-5c453bc8f7110-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_e4fca45827e461ad4667bb6653390608.css?ver=1623239110	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_e4fca45827e461ad4667bb6653390608f843.css	(from http://blackboxjumper.maweb.eu/)
14:47:37	89496/89496	U-----	200	untouched ('')	application/javascript	etag:%2215d98-5b8e02a80d9f2%22	http://blackboxjumper.maweb.eu/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-includes/js/jquery/jquery.min9d52.js	(from http://blackboxjumper.maweb.eu/)
14:47:39	1045/1045	U-----	200	untouched ('')	text/xml	etag:%22415-5b8e02a816692%22	http://blackboxjumper.maweb.eu/wp-includes/wlwmanifest.xml	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-includes/wlwmanifest.xml	(from http://blackboxjumper.maweb.eu/)
14:47:41	846/846	U--MCZ	200	updated ('OK')	text/xml	date:Wed,%2009%20Jun%202021%2012:47:25%20GMT	http://blackboxjumper.maweb.eu/xmlrpc.php?rsd	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/xmlrpc0db0.php	(from http://blackboxjumper.maweb.eu/)
14:47:50	7796/7796	U--MC-	200	updated ('OK')	application/json	date:Wed,%2009%20Jun%202021%2012:47:25%20GMT	http://blackboxjumper.maweb.eu/wp-json/wp/v2/pages/15	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/wp/v2/pages/15.json	(from http://blackboxjumper.maweb.eu/)
14:47:52	113730/113730	U--MC-	200	updated ('OK')	application/json	date:Wed,%2009%20Jun%202021%2012:47:25%20GMT	http://blackboxjumper.maweb.eu/wp-json/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/index.html	(from http://blackboxjumper.maweb.eu/)
14:47:52	2656/2656	U--MC-	200	updated ('OK')	application/json	date:Wed,%2009%20Jun%202021%2012:47:28%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2F	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embedf01f.json	(from http://blackboxjumper.maweb.eu/)
14:47:58	2759/2759	U--MCZ	200	updated ('OK')	text/xml	date:Wed,%2009%20Jun%202021%2012:47:40%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2F&format=xml	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embeddaf1	(from http://blackboxjumper.maweb.eu/)
14:48:29	27960/27960	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:48:10%20GMT	http://blackboxjumper.maweb.eu/wiki/score-counter/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/score-counter/index.html	(from http://blackboxjumper.maweb.eu/)
14:48:37	50063/50063	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:48:12%20GMT	http://blackboxjumper.maweb.eu/wiki/versions/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/versions/index.html	(from http://blackboxjumper.maweb.eu/)
14:48:38	3222/3222	---M--	200	added ('OK')	image/png	etag:%225f7d7c7f-c96%22	https://www.endora.cz/images/icon.png	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/www.endora.cz/images/icon.png	(from http://blackboxjumper.maweb.eu/)
14:48:40	190360/190360	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%222e798-5b98187062281%22	http://blackboxjumper.maweb.eu/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.9.1	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsc2cd.eot	(from http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_82d79ed373b00464be14ebe8a98a91c2.css)
14:48:41	407/407	U-----	200	untouched ('')	image/png	etag:%22197-5ba47b3c80db7%22	http://blackboxjumper.maweb.eu/wp-content/uploads/2021/02/spr_player-icon-2-48x48.png	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/uploads/2021/02/spr_player-icon-2-48x48.png	(from http://blackboxjumper.maweb.eu/)
14:48:41	7024/7024	U-----	200	untouched ('')	image/png	etag:%221b70-5ba47b3b967bd%22	http://blackboxjumper.maweb.eu/wp-content/uploads/2021/02/spr_player-icon-2.png	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/uploads/2021/02/spr_player-icon-2.png	(from http://blackboxjumper.maweb.eu/)
14:48:47	391760/391760	U--MCZ	200	updated ('OK')	application/javascript	etag:%225fa50-5c453bc8de2a0-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/js/autoptimize_77c31d35311fa6621bda40b8b8df9873.js	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/js/autoptimize_77c31d35311fa6621bda40b8b8df9873.js	(from http://blackboxjumper.maweb.eu/)
14:49:21	352474/352474	---M-Z	200	added ('OK')	text/css	etag:%22560da-5c454affb018c-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_c57f0f99c11a636c4ec0adc69428f3a7.css	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_c57f0f99c11a636c4ec0adc69428f3a7.css	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:27	1272/1272	---M-Z	200	added ('OK')	text/css	etag:%224f8-5c4547a0124f6-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_fa292f8abc7c8137d4669a227cc2b42c.css?ver=1623241986	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_fa292f8abc7c8137d4669a227cc2b42ca0c3.css	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:35	23901/23901	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2009%20Jun%202021%2012:48:31%20GMT	http://blackboxjumper.maweb.eu/wiki/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/index.html	(from http://blackboxjumper.maweb.eu/)
14:49:39	38952/38952	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Jun%202021%2012:49:15%20GMT	http://blackboxjumper.maweb.eu/wp-json/wp/v2/pages/780	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/wp/v2/pages/780.json	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jun%202021%2012:49:28%20GMT	http://blackboxjumper.maweb.eu/?p=780	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/index21b7.html	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:42	2693/2693	U--MC-	200	updated ('OK')	application/json	date:Wed,%2009%20Jun%202021%2012:49:28%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2Fversions%2F	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embedb305.json	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:42	0/0	U--MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jun%202021%2012:49:28%20GMT	http://blackboxjumper.maweb.eu/wiki/versions/1-5/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/versions/1-5/index.html	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:45	0/0	U--MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jun%202021%2012:49:30%20GMT	http://blackboxjumper.maweb.eu/wiki/versions/1-4-2-1/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/versions/1-4-2-1/index.html	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:47	2793/2793	U--MCZ	200	updated ('OK')	text/xml	date:Wed,%2009%20Jun%202021%2012:49:28%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2Fversions%2F&format=xml	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed8987	(from http://blackboxjumper.maweb.eu/wiki/versions/)
