Submission Date,status,Name,Game version,Level,Score,Gold,Screenshot/Video,Date,Number of mutators,Game version 2,Used weapon,Mutators,Used perks,Submission ID
2023-06-27 18:55:17,a,esteban8nn,Demo,Nordfels,13152,259,https://cdn.discordapp.com/attachments/1117853463045476382/1121874081948651691/13k_pointss.PNG,unknown,,,,,,5636941175145327386
2023-06-30 17:22:15,a,GhostMiner,Demo,Neuland,4872,42,https://cdn.discordapp.com/attachments/697094989716521021/1124358589440598086/2420130_20230630170800_1.png,unknown,,,,,,5639477353524707944
2023-07-01 21:26:54,a,neoarandil,Demo,Neuland,5002,70,https://media.discordapp.net/attachments/1117853463045476382/1124441173075959990/image.png?width=1074&height=604,unknown,,,,,,5640488143525514428
2023-07-01 21:35:32,a,deltatee,Demo,Nordfels,12432,529,https://media.discordapp.net/attachments/1117853463045476382/1121339065107763230/image.png?width=1074&height=604,unknown,,,,,,5640493323523656433
2023-07-02 14:53:23,a,arkqa,Demo,Neuland,5201,61,https://cdn.discordapp.com/attachments/1117853463045476382/1125023335554760745/image.png,unknown,,,,,,5641116033429398573
2023-07-02 17:34:57,o,ToGreedy,Demo,Neuland,5178,610,https://cdn.discordapp.com/attachments/1032264855815725126/1125087109284384838/image.png,unknown,,,,,,5641212971612850952
2023-07-03 17:08:25,o,Anael,Demo,Nordfels,17312,320,https://www.youtube.com/watch?v=WAIV-AjWRa8,unknown,,,,,,5642061050813835734
2023-07-04 3:48:34,a,ToGreedy,Demo,Neuland,5187,61,https://cdn.discordapp.com/attachments/1117853463045476382/1125603735607988274/image.png,04/07/2023 3:47,,,,,,5642445144129133009
2023-07-04 4:33:09,a,ToGreedy,Demo,Nordfels,12811,152,https://cdn.discordapp.com/attachments/659527750268485640/1125615094714347671/image.png,04/07/2023 4:32,,,,,,5642471894123526752
2023-07-04 5:50:26,r,BabyKrokodile,Demo,Nordfels,11730,472,https://cdn.discordapp.com/attachments/937447824113664021/1125634645883621397/Screenshot_45.png,04/07/2023 5:01,,,,,,5642518260029250186
2023-07-06 11:46:24,o,Isaac,Demo,Nordfels,13558,392,https://drive.google.com/file/d/1ukyw_AsJqHD6a12WMN2FTUfUC-V8V_Sf/view?usp=drive_link,06/07/2023 2:23,,,,,,5644459848327569203
2023-07-07 10:31:36,o,The Gentleman,Demo,Nordfels,14110,258,https://steamuserimages-a.akamaihd.net/ugc/2028358250043827064/D48D6FB731C53A880425AE2A8848094F50DBF0DD/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false,07/07/2023 1:30,,,,,,5645278967428167097
2023-07-09 2:59:30,r,Isaac,Demo,Nordfels,14461,279,https://drive.google.com/file/d/1JH9-6KKyisGYGAt3XIzmdEy0lX772Qyo/view?usp=drive_link,08/07/2023 17:57,,,,,,5646735708328082245
2023-07-09 3:34:32,a,The Gentleman,Demo,Nordfels,14795,293,https://steamuserimages-a.akamaihd.net/ugc/2028358326463598485/08CD8326D0436D0B2A6271131FC50A00D6919740/?imw=5000&imh=5000&ima=fit&impolicy=Letterbox&imcolor=%23000000&letterbox=false,08/07/2023 18:33,,,,,,5646756727426192172
2023-07-12 11:52:25,a,Anael,Demo,Nordfels,17339,321,https://www.youtube.com/watch?v=OtlpDNgL-K0,12/07/2023 6:50,,,,,,5649647450811374184
2023-07-15 16:41:33,a,LukasRainbow,Demo,Neuland,4884,43,https://cdn.discordapp.com/attachments/1117853463045476382/1129752542755168388/image.png,15/07/2023 14:33,,,,,,5652412933695956096
2023-07-15 17:31:25,a,ItsMeRaven,Demo,Neuland,5240,65,https://youtu.be/AH2ums3NzvI,15/07/2023 17:27,,,,,,5652442853112556983
2023-07-16 21:39:35,a,Isaac,Demo,Nordfels,14595,468,https://drive.google.com/file/d/1bgARNO6YxeU1yUJaeUJDVHjluFtDD19_/view?usp=drive_link,16/07/2023 12:38,,,,,,5653455758328117552
2023-07-16 22:14:01,a,ItsMeRaven,Demo,Nordfels,16938,287,https://youtu.be/sr6zlDb_s1M,16/07/2023 22:12,,,,,,5653476415114885016
