Submission Date,Statis,Name,Level,Minutes,Seconds,Millliseconds,Video,Date,Used weapon,Number of mutators,Game version,Type a question
2023-07-17 11:45:39,r,ItsMeRaven,Neuland,3,41,0,https://youtu.be/m9KXBwQVmnM,16/07/2023 16:17,Bow,,,
2023-07-17 12:12:19,r,ItsMeRaven,Nordfels,9,53,0,https://youtu.be/HVH_UzaKBgE,17/07/2023 12:12,Spear,,,
2023-07-19 2:05:16,r,Haidabo,Neuland,3,33,0,https://youtu.be/l_U7u8bxb5g,18/07/2023 19:03,Bow,,,
2023-07-19 2:06:13,r,Haidabo,Nordfels,11,26,0,https://youtu.be/XIwv1se6il8,18/07/2023 19:05,Bow,,,
2023-07-19 22:39:49,r,ItsMeRaven,Neuland,3,29,840,https://youtu.be/OV8PhzOIKMw,19/07/2023 22:38,Bow,,,
2023-07-20 12:29:26,r,ItsMeRaven,Nordfels,9,26,600,https://youtu.be/hwdgmVxfBJs,20/07/2023 12:22,Spear,,,
EARLY ACCESS RELEASE,,,,,,,,,,,,
2023-08-05 20:19:32,a,Haidabo,Neuland,3,28,520,https://youtu.be/3C4-o_TdDxM,05/08/2023 ,Bow,,,Early access
2023-08-08 2:10:35,a,Haidabo,Nordfels,8,44,780,https://youtu.be/RXdXX3Og91A,07/08/2023 ,Spear,,,Early access
2023-08-10 16:01:28,a,BUTER01,Durststein,14,13,14,https://www.youtube.com/watch?v=60e07CqNbuc&ab_channel=IonutLast,10/08/2023 ,Bow,,,Early access
2023-08-11 1:26:00,a,Haidabo,Durststein,11,29,440,https://youtu.be/UQRwuYAT0JI,10/08/2023 ,Spear,,,Early access
2023-08-12 21:42:02,a,Haidabo,Frostsee,10,25,130,https://youtu.be/4iICrlLNFOs,12/08/2023,Bow,,,Early access
2023-08-20 8:13:38,w,A Zhu,Durststein,10,35,77,https://youtu.be/epHQUOi81nE,20/08/2023,Bow,1,1.11,Early access
2023-08-20 11:05:04,w,A Zhu,Frostsee,8,23,31,https://youtu.be/nohzugA12B0,20/08/2023,Bow,0,1.11,Early access
